country,fuel,year,capacity_factor
AFG,Biomass,2014,
AFG,Biomass,2015,
AFG,Biomass,2016,
AFG,Biomass,2017,
AFG,Coal,2014,
AFG,Coal,2015,
AFG,Coal,2016,
AFG,Coal,2017,
AFG,Cogeneration,2014,
AFG,Cogeneration,2015,
AFG,Cogeneration,2016,
AFG,Cogeneration,2017,
AFG,Gas,2014,
AFG,Gas,2015,
AFG,Gas,2016,
AFG,Gas,2017,
AFG,Geothermal,2014,
AFG,Geothermal,2015,
AFG,Geothermal,2016,
AFG,Geothermal,2017,
AFG,Hydro,2014,0.39438784908846974
AFG,Hydro,2015,0.40276355533229
AFG,Hydro,2016,0.3546445319204301
AFG,Hydro,2017,0.35950333895539377
AFG,Nuclear,2014,
AFG,Nuclear,2015,
AFG,Nuclear,2016,
AFG,Nuclear,2017,
AFG,Oil,2014,
AFG,Oil,2015,
AFG,Oil,2016,
AFG,Oil,2017,
AFG,Other,2014,
AFG,Other,2015,
AFG,Other,2016,
AFG,Other,2017,
AFG,Petcoke,2014,
AFG,Petcoke,2015,
AFG,Petcoke,2016,
AFG,Petcoke,2017,
AFG,Solar,2014,0.20148713726077297
AFG,Solar,2015,0.20113068058273537
AFG,Solar,2016,0.20007123663185994
AFG,Solar,2017,0.1852428393524284
AFG,Storage,2014,
AFG,Storage,2015,
AFG,Storage,2016,
AFG,Storage,2017,
AFG,Waste,2014,
AFG,Waste,2015,
AFG,Waste,2016,
AFG,Waste,2017,
AFG,Wave and Tidal,2014,
AFG,Wave and Tidal,2015,
AFG,Wave and Tidal,2016,
AFG,Wave and Tidal,2017,
AFG,Wind,2014,0.1141552511415525
AFG,Wind,2015,0.1141552511415525
AFG,Wind,2016,0.11384335154826958
AFG,Wind,2017,0.028538812785388126
AGO,Biomass,2014,
AGO,Biomass,2015,
AGO,Biomass,2016,
AGO,Biomass,2017,
AGO,Coal,2014,
AGO,Coal,2015,
AGO,Coal,2016,
AGO,Coal,2017,
AGO,Cogeneration,2014,
AGO,Cogeneration,2015,
AGO,Cogeneration,2016,
AGO,Cogeneration,2017,
AGO,Gas,2014,
AGO,Gas,2015,0.0
AGO,Gas,2016,0.0
AGO,Gas,2017,0.0
AGO,Geothermal,2014,
AGO,Geothermal,2015,
AGO,Geothermal,2016,
AGO,Geothermal,2017,
AGO,Hydro,2014,0.5993390204971669
AGO,Hydro,2015,0.5993390204971669
AGO,Hydro,2016,0.4224653511771364
AGO,Hydro,2017,0.3706558107914242
AGO,Nuclear,2014,
AGO,Nuclear,2015,
AGO,Nuclear,2016,
AGO,Nuclear,2017,
AGO,Oil,2014,
AGO,Oil,2015,0.4750968763986651
AGO,Oil,2016,0.4806715763091651
AGO,Oil,2017,0.3250718641013852
AGO,Other,2014,
AGO,Other,2015,
AGO,Other,2016,
AGO,Other,2017,
AGO,Petcoke,2014,
AGO,Petcoke,2015,
AGO,Petcoke,2016,
AGO,Petcoke,2017,
AGO,Solar,2014,0.1617199391171994
AGO,Solar,2015,0.16194117022406285
AGO,Solar,2016,0.1554726368159204
AGO,Solar,2017,0.15589858924555305
AGO,Storage,2014,
AGO,Storage,2015,
AGO,Storage,2016,
AGO,Storage,2017,
AGO,Waste,2014,
AGO,Waste,2015,
AGO,Waste,2016,
AGO,Waste,2017,
AGO,Wave and Tidal,2014,
AGO,Wave and Tidal,2015,
AGO,Wave and Tidal,2016,
AGO,Wave and Tidal,2017,
AGO,Wind,2014,
AGO,Wind,2015,
AGO,Wind,2016,
AGO,Wind,2017,
ALB,Biomass,2014,
ALB,Biomass,2015,
ALB,Biomass,2016,
ALB,Biomass,2017,
ALB,Coal,2014,
ALB,Coal,2015,0.0
ALB,Coal,2016,0.0
ALB,Coal,2017,0.0
ALB,Cogeneration,2014,
ALB,Cogeneration,2015,
ALB,Cogeneration,2016,
ALB,Cogeneration,2017,
ALB,Gas,2014,
ALB,Gas,2015,
ALB,Gas,2016,
ALB,Gas,2017,
ALB,Geothermal,2014,
ALB,Geothermal,2015,
ALB,Geothermal,2016,
ALB,Geothermal,2017,
ALB,Hydro,2014,0.3126464165177685
ALB,Hydro,2015,0.3742743078306185
ALB,Hydro,2016,0.4405245195142563
ALB,Hydro,2017,0.2523461218444187
ALB,Nuclear,2014,
ALB,Nuclear,2015,
ALB,Nuclear,2016,
ALB,Nuclear,2017,
ALB,Oil,2014,
ALB,Oil,2015,0.0
ALB,Oil,2016,0.0
ALB,Oil,2017,0.0
ALB,Other,2014,
ALB,Other,2015,
ALB,Other,2016,
ALB,Other,2017,
ALB,Petcoke,2014,
ALB,Petcoke,2015,
ALB,Petcoke,2016,
ALB,Petcoke,2017,
ALB,Solar,2014,0.15220700152206998
ALB,Solar,2015,0.14528850145288502
ALB,Solar,2016,0.1593806921675774
ALB,Solar,2017,0.136986301369863
ALB,Storage,2014,
ALB,Storage,2015,
ALB,Storage,2016,
ALB,Storage,2017,
ALB,Waste,2014,
ALB,Waste,2015,
ALB,Waste,2016,
ALB,Waste,2017,
ALB,Wave and Tidal,2014,
ALB,Wave and Tidal,2015,
ALB,Wave and Tidal,2016,
ALB,Wave and Tidal,2017,
ALB,Wind,2014,
ALB,Wind,2015,
ALB,Wind,2016,
ALB,Wind,2017,
ARE,Biomass,2014,
ARE,Biomass,2015,
ARE,Biomass,2016,
ARE,Biomass,2017,
ARE,Coal,2014,
ARE,Coal,2015,
ARE,Coal,2016,
ARE,Coal,2017,
ARE,Cogeneration,2014,
ARE,Cogeneration,2015,
ARE,Cogeneration,2016,
ARE,Cogeneration,2017,
ARE,Gas,2014,
ARE,Gas,2015,0.507812888243385
ARE,Gas,2016,0.5151222432068568
ARE,Gas,2017,0.5350998185110213
ARE,Geothermal,2014,
ARE,Geothermal,2015,
ARE,Geothermal,2016,
ARE,Geothermal,2017,
ARE,Hydro,2014,
ARE,Hydro,2015,
ARE,Hydro,2016,
ARE,Hydro,2017,
ARE,Nuclear,2014,
ARE,Nuclear,2015,
